Data,Último,Abertura,Máxima,Mínima,Vol,Var%
21082022,21322.6,21138.9,21469.9,21077.4,189.63K,0.87%
20082022,21138.9,20830.7,21357.4,20784.8,206.94K,1.48%
19082022,20831.3,23201.6,23202.3,20807.8,339.47K,-10.22%
18082022,23203.6,23337.7,23578.0,23131.3,160.97K,-0.58%
17082022,23338.0,23855.8,24423.5,23191.6,239.53K,-2.17%
16082022,23856.8,24102.6,24240.8,23693.8,201.70K,-1.02%
15082022,24101.7,24303.3,25205.7,23784.5,279.28K,-0.83%
14082022,24302.8,24442.1,24997.3,24172.2,177.25K,-0.57%
13082022,24442.5,24398.9,24882.9,24318.7,170.59K,0.18%
12082022,24398.7,23935.3,24440.8,23616.4,194.96K,1.94%
11082022,23935.3,23963.3,24873.5,23864.0,285.36K,-0.12%
10082022,23962.9,23150.3,24209.9,22714.7,243.61K,3.53%
09082022,23146.7,23818.1,23912.0,22886.5,169.62K,-2.81%
08082022,23816.3,23175.3,24234.1,23160.6,197.94K,2.77%
07082022,23175.3,22944.2,23387.7,22852.3,99.36K,1.01%
06082022,22944.2,23308.2,23344.4,22923.6,94.44K,-1.56%
05082022,23308.2,22613.3,23447.6,22593.5,208.90K,3.08%
04082022,22612.1,22822.2,23214.5,22438.7,181.19K,-0.91%
03082022,22820.8,22988.7,23623.7,22698.6,174.66K,-0.73%
02082022,22988.6,23271.1,23423.3,22670.8,177.30K,-1.21%
01082022,23271.2,23303.4,23484.4,22863.8,162.33K,-0.14%
31072022,23303.4,23634.2,24179.3,23236.2,138.84K,-1.40%
30072022,23634.2,23774.2,24605.3,23521.8,168.72K,-0.59%
29072022,23774.3,23850.2,24340.0,23451.4,221.66K,-0.32%
28072022,23850.0,22957.7,24190.5,22611.6,268.32K,3.88%
27072022,22958.3,21248.0,23027.8,21047.5,242.66K,8.05%
26072022,21248.7,21301.6,21322.3,20737.3,201.57K,-0.25%
25072022,21301.9,22582.3,22653.3,21275.4,206.93K,-5.67%
24072022,22582.1,22449.8,22987.9,22281.3,126.66K,0.54%
23072022,22460.4,22683.6,22991.0,21971.7,137.42K,-0.95%
22072022,22675.2,23150.0,23741.4,22524.2,197.54K,-2.06%
21072022,23153.0,23219.9,23403.8,22360.2,217.08K,-0.27%
20072022,23215.2,23412.0,24258.0,22944.4,281.31K,-0.83%
19072022,23410.2,22529.3,23757.3,21581.8,308.91K,3.93%
