Abertura,Fechamento,Mínima,Máxima
32.92,31.73,31.33,33.15
33.10,33.42,32.87,33.66
31.69,32.76,31.62,32.82
31.72,32.01,31.50,32.07
30.88,31.72,30.55,32.23
29.10,31.71,29.08,31.83
37.45,36.25,36.25,37.86
37.65,37.11,36.61,37.65
37.01,37.23,36.85,37.46
35.14,36.63,35.13,36.77
34.15,34.87,34.12,35.06
34.08,34.21,33.58,34.40
34.01,33.88,33.56,34.16
33.77,33.83,33.48,34.50
34.00,33.68,33.22,34.15
33.60,34.15,32.83,34.66
31.59,32.29,31.43,32.63
31.30,31.35,30.62,31.47
31.20,31.01,30.59,31.62
29.61,30.70,29.61,30.75
29.04,29.33,28.85,29.47
28.98,29.02,28.20,29.13
29.07,29.17,28.83,29.22
28.55,29.18,28.40,29.24
28.39,28.60,28.30,28.69
27.70,27.96,27.49,28.05
28.00,27.49,27.24,28.00
28.13,28.25,27.98,28.48
28.30,28.23,27.97,28.43
28.32,28.66,28.25,28.79
28.53,28.80,28.37,28.97
28.00,28.48,28.00,28.92
28.16,27.67,26.91,28.48
28.90,28.03,27.55,28.95
28.54,29.14,28.54,29.28
28.08,28.53,27.52,28.85
27.65,27.93,27.40,28.06
28.48,28.08,27.84,28.82
28.58,28.33,28.02,28.83
26.82,27.98,26.66,28.07
26.76,26.29,26.18,27.09
26.98,26.49,26.12,27.38
26.58,26.99,26.39,27.55
27.80,27.07,26.69,28.16
26.02,27.62,25.91,28.25
28.17,27.31,26.13,28.45
30.00,29.08,28.84,30.02
29.66,29.60,29.24,30.25
29.02,29.27,28.67,29.58
30.01,29.65,29.06,30.01
30.51,30.07,29.98,30.66
30.42,30.51,30.33,31.15
30.19,30.66,30.16,31.30
30.50,30.30,29.91,30.53
29.71,30.28,29.53,30.44
29.97,29.76,29.55,30.05
29.90,30.02,29.85,30.33
30.41,30.06,29.81,30.62
30.84,29.99,29.12,30.87
32.15,30.60,30.57,32.15
32.02,32.13,31.95,32.56
31.70,32.05,31.26,32.28
31.20,31.60,30.71,32.09
35.18,36.20,35.15,36.31
34.59,34.83,34.25,34.83
33.52,34.17,33.33,34.29
34.18,33.60,33.43,34.56
35.00,34.16,34.14,35.14
34.25,34.61,34.01,34.88
34.10,34.27,33.90,34.44
33.26,33.83,33.26,34.08
32.78,33.57,32.69,33.91
32.36,32.44,32.20,32.85
32.70,32.16,32.06,33.04
32.69,33.06,31.90,33.12
31.81,32.01,31.02,32.50
30.60,32.07,30.40,32.17
30.12,30.25,29.82,30.39
30.17,29.98,29.33,30.33
30.75,30.28,30.28,31.59
30.45,30.26,30.25,30.62
30.37,30.06,29.95,30.56
30.09,30.06,29.92,30.56
29.97,30.11,29.54,30.44
31.05,30.56,30.32,31.30
31.65,31.80,31.33,31.95
31.16,31.65,31.12,32.00
31.16,30.72,30.47,31.39
31.60,31.27,31.16,32.07
34.37,34.57,34.10,34.80
34.40,33.85,33.80,34.68
33.90,33.95,33.78,34.10
34.07,34.21,33.85,34.41
32.64,34.04,32.50,34.06
32.60,32.36,32.04,32.78
32.66,32.39,32.39,33.06
32.90,32.70,32.25,32.90
33.55,33.01,32.91,33.79
32.57,33.45,32.50,33.57
32.50,32.99,32.38,32.99
32.13,32.30,31.92,32.76
32.06,31.60,30.98,32.08
32.15,32.30,31.92,32.55
32.05,32.42,31.67,32.60
31.93,32.05,31.69,32.47
31.99,31.62,31.35,32.10
30.91,31.76,30.64,32.09
30.09,30.61,29.86,30.82
31.25,30.01,29.50,31.40
31.50,30.83,30.37,31.54
31.14,31.10,30.47,31.54
32.43,31.87,31.52,32.89
33.91,32.49,32.07,34.38
32.60,33.70,32.52,34.60
32.60,32.56,31.74,32.82
32.00,32.46,31.51,32.97
34.50,31.80,31.63,34.60
34.08,34.23,33.82,34.68
34.82,34.24,34.16,34.93
35.26,34.67,34.39,35.29
33.45,34.00,32.90,34.00
34.80,33.39,32.68,35.29
34.18,34.22,33.80,34.60
34.22,33.74,33.21,34.68
33.05,33.85,33.00,34.00
32.57,33.00,32.27,33.09
32.85,32.80,32.55,33.29
32.83,32.93,32.77,33.70
32.66,32.48,31.89,32.68
33.86,33.00,32.82,33.94
32.77,33.76,32.63,33.91
32.30,32.44,31.94,32.90
31.74,31.95,31.65,32.69
31.90,31.83,31.26,31.95
32.55,32.15,32.13,32.78
32.41,32.63,31.88,33.23
32.35,32.07,31.62,32.92
33.41,32.52,32.36,33.49
32.35,33.00,31.95,33.32
32.50,32.35,32.07,33.00
33.80,32.54,32.20,34.35
34.25,33.88,33.17,34.64
33.30,33.87,33.30,34.27
31.70,32.99,31.58,33.23
31.69,31.95,31.04,32.25
31.57,31.77,31.53,31.88
31.50,31.72,31.11,32.00
31.90,31.49,31.44,32.21
31.56,31.64,30.97,31.98
31.40,31.50,31.25,31.81
30.28,31.45,30.24,31.60
29.53,30.32,29.50,30.63
28.95,29.72,28.95,29.91
28.10,28.84,27.85,29.07
27.99,28.01,27.72,28.24
28.11,28.18,27.82,28.29
28.29,28.05,27.84,28.65
29.19,28.07,27.94,29.27
29.16,29.20,28.91,29.40
28.54,29.09,28.53,29.22
