Último,Abertura,Máxima,Mínima
5.2422,5.1833,5.257,5.1462
5.1831,5.1229,5.2122,5.1229
5.1223,5.0285,5.1259,5.0076
5.0282,5.0608,5.0917,5.01
5.0601,5.1102,5.1175,5.054
5.1099,5.1114,5.1437,5.0852
5.1114,5.105,5.1244,5.0802
5.1037,5.1576,5.1579,5.07
5.1574,5.1706,5.2046,5.1498
5.1697,5.1694,5.2199,5.1648
5.1674,5.1655,5.2074,5.1283
5.1642,5.1469,5.2144,5.1452
5.1459,5.0987,5.1549,5.0965
5.0961,5.0721,5.1409,5.0721
5.0735,5.1592,5.1649,5.064
5.1581,5.0945,5.1712,5.0605
5.0927,5.1249,5.1421,5.0342
5.1237,5.1129,5.1522,5.0926
5.1117,5.1638,5.1638,5.1023
5.1646,5.2145,5.2782,5.1553
5.2164,5.2844,5.2959,5.1986
5.2815,5.2796,5.3163,5.243
5.2784,5.1856,5.285,5.1856
5.1838,5.1759,5.205,5.1269
5.1734,5.1842,5.2221,5.1448
5.1823,5.2442,5.274,5.1578
5.2432,5.3517,5.3526,5.2372
5.3511,5.3576,5.3931,5.3345
5.3576,5.4987,5.501,5.3566
5.4968,5.4993,5.5047,5.4349
5.4968,5.472,5.5152,5.4289
5.4714,5.4144,5.4729,5.3889
5.4135,5.4381,5.4381,5.3646
5.4375,5.4092,5.4392,5.3517
5.4082,5.4239,5.4492,5.3745
5.4233,5.393,5.4906,5.393
5.3917,5.4377,5.4667,5.3609
5.4368,5.3786,5.4434,5.3695
5.3782,5.2551,5.3864,5.2551
5.2536,5.3399,5.3696,5.2501
5.3391,5.4299,5.4303,5.3296
5.4287,5.387,5.4627,5.387
5.3861,5.3299,5.4043,5.3287
5.3293,5.3307,5.3352,5.2871
5.331,5.2569,5.3402,5.2527
5.2562,5.1828,5.2715,5.1779
5.1818,5.268,5.2734,5.1754
5.2675,5.2387,5.2792,5.1876
5.2366,5.2423,5.2755,5.2018
5.2417,5.2393,5.2763,5.2027
5.2406,5.1944,5.2477,5.1659
5.194,5.1255,5.1962,5.1255
5.1257,5.1905,5.191,5.1167
5.188,5.1534,5.1944,5.1361
5.1518,5.054,5.1561,5.054
5.0535,5.0538,5.0551,5.0538
5.0536,5.1178,5.135,5.0176
5.1168,5.1151,5.1519,5.0859
5.1154,4.989,5.1383,4.989
4.9865,4.9048,5.0124,4.8815
4.9048,4.8998,4.9201,4.8664
4.8988,4.8712,4.9082,4.845
4.8696,4.7958,4.9352,4.7913
4.7945,4.7765,4.8073,4.7467
4.7734,4.797,4.8321,4.7715
4.7962,4.8169,4.8169,4.771
4.8151,4.7319,4.818,4.7218
4.7315,4.7538,4.7793,4.6975
4.7526,4.7311,4.7568,4.6904
4.7295,4.77,4.7818,4.7147
4.7677,4.826,4.8442,4.7501
4.8275,4.819,4.8644,4.8047
4.8191,4.8125,4.8548,4.775
4.813,4.8797,4.8797,4.7847
4.8788,4.9314,4.9314,4.8519
4.9309,4.9688,4.9694,4.879
4.9682,4.9372,5.0005,4.9197
4.9387,5.0617,5.0617,4.9261
5.0599,5.0647,5.1045,5.0307
5.0602,5.1347,5.1502,5.0455
5.1339,5.138,5.2102,5.105
5.1373,5.1328,5.1717,5.091
5.1313,5.1622,5.1666,5.109
5.1617,5.0784,5.1625,5.0784
5.0774,5.0293,5.115,5.007
5.028,4.92,5.0589,4.9173
4.9198,4.9563,5.0368,4.8921
4.9584,5.0841,5.0841,4.9559
5.0848,4.9692,5.094,4.9657
4.9721,4.9404,4.9819,4.8588
4.9425,4.9654,5.0461,4.9351
4.9651,4.9992,5.0405,4.9277
4.9989,4.8777,5.0023,4.8777
4.8766,4.7974,4.949,4.7974
4.7937,4.6214,4.8393,4.6214
4.622,4.6224,4.6225,4.6224
4.6219,4.6663,4.6803,4.608
4.6675,4.6536,4.6866,4.6379
4.6527,4.6971,4.7091,4.6438
4.6965,4.6971,4.6971,4.697
4.7013,4.688,4.7417,4.6854
4.6899,4.678,4.7056,4.6512
4.6735,4.6892,4.6958,4.6215
4.6944,4.7056,4.7397,4.6783
4.697,4.7534,4.795,4.6935
4.7524,4.7093,4.7733,4.6894
4.7161,4.6523,4.7263,4.646
4.6506,4.595,4.6742,4.5805
4.5928,4.6595,4.6751,4.5885
4.6575,4.7408,4.7408,4.6525
4.739,4.7709,4.7965,4.7215
4.7685,4.758,4.7924,4.7252
4.7561,4.768,4.785,4.7148
4.7675,4.7526,4.8196,4.7326
4.742,4.8273,4.8298,4.7297
4.8253,4.8263,4.8591,4.7649
4.8258,4.9108,4.9214,4.8215
4.9094,4.9366,4.9514,4.9048
4.9354,5.0245,5.0299,4.9309
5.0231,5.0406,5.076,4.9924
5.039,5.0778,5.108,5.0279
5.0757,5.1599,5.1599,5.0718
5.1631,5.1224,5.17,5.0922
5.1193,5.0591,5.1402,5.0373
5.0745,5.0132,5.082,4.982
5.011,5.015,5.0765,5.0101
5.0123,5.0286,5.0363,4.985
5.0599,5.0813,5.1011,5.0446
5.1115,5.0785,5.1152,5.028
5.062,5.0517,5.1017,5.0227
5.032,5.0978,5.1155,5.0188
5.0995,5.2144,5.2233,5.0866
5.1595,5.1605,5.1605,5.1605
5.1599,5.1638,5.1654,5.16
5.1623,5.1199,5.181,5.0785
5.1231,5.005,5.164,5.005
5.0097,5.0621,5.0621,4.9939
5.0583,5.108,5.108,5.0437
5.1036,5.1374,5.1552,5.0746
5.1385,5.1718,5.1766,5.1088
5.1718,5.136,5.184,5.1238
5.1365,5.16,5.1782,5.1225
5.159,5.2188,5.2212,5.1585
5.2149,5.256,5.267,5.1954
5.2527,5.2365,5.2659,5.1805
5.2496,5.2389,5.2557,5.1727
