Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
19 de ago. de 2022,66.96,67.00,67.44,66.48,45.54M,-1.12%
18 de ago. de 2022,67.72,68.30,68.61,67.71,27.44M,-0.75%
17 de ago. de 2022,68.23,68.31,68.79,67.90,29.01M,-2.46%
16 de ago. de 2022,69.95,69.50,70.35,69.11,22.26M,2.42%
15 de ago. de 2022,68.30,68.00,68.55,67.04,26.63M,-2.15%
12 de ago. de 2022,69.80,68.78,69.80,68.30,35.41M,-3.71%
11 de ago. de 2022,72.49,70.80,73.65,70.55,50.90M,3.48%
10 de ago. de 2022,70.05,70.73,70.81,69.12,29.98M,0.07%
09 de ago. de 2022,70.00,68.59,70.16,68.15,34.94M,2.07%
08 de ago. de 2022,68.58,68.83,69.14,67.76,35.52M,0.85%
05 de ago. de 2022,68.00,67.89,68.75,67.50,36.06M,1.30%
04 de ago. de 2022,67.13,67.67,68.05,66.82,40.25M,-0.58%
03 de ago. de 2022,67.52,70.06,70.15,67.52,31.64M,-3.89%
02 de ago. de 2022,70.25,68.33,70.47,66.98,32.54M,3.19%
01 de ago. de 2022,68.08,68.94,69.85,67.93,38.71M,-2.39%
29 de jul. de 2022,69.75,69.67,70.32,68.03,76.79M,-1.33%
28 de jul. de 2022,70.69,71.46,71.97,70.31,21.60M,0.24%
27 de jul. de 2022,70.52,69.97,70.62,69.31,21.56M,0.23%
26 de jul. de 2022,70.36,71.32,71.42,69.58,19.73M,-0.18%
25 de jul. de 2022,70.49,70.66,71.23,70.04,19.73M,1.85%
22 de jul. de 2022,69.21,69.80,70.75,68.97,27.76M,0.93%
21 de jul. de 2022,68.57,67.31,68.62,66.64,26.88M,1.75%
20 de jul. de 2022,67.39,68.46,68.48,66.18,40.25M,-2.16%
19 de jul. de 2022,68.88,68.21,69.27,67.99,21.68M,0.22%
18 de jul. de 2022,68.73,70.39,70.39,68.70,21.93M,0.53%
15 de jul. de 2022,68.37,67.50,68.49,66.65,36.28M,0.62%
14 de jul. de 2022,67.95,70.50,70.83,67.56,57.33M,-6.66%
13 de jul. de 2022,72.80,72.95,73.64,72.31,22.91M,-0.34%
12 de jul. de 2022,73.05,72.00,73.17,71.06,22.28M,0.30%
11 de jul. de 2022,72.83,74.15,74.16,72.56,21.93M,-3.41%
08 de jul. de 2022,75.40,76.83,77.86,75.30,24.01M,-2.31%
07 de jul. de 2022,77.18,77.26,78.22,76.88,34.16M,2.91%
06 de jul. de 2022,75.00,74.65,75.45,73.54,23.07M,0.94%
05 de jul. de 2022,74.30,74.34,74.42,72.57,26.42M,-0.50%
04 de jul. de 2022,74.67,74.00,75.01,73.58,12.38M,-0.57%
01 de jul. de 2022,75.10,75.52,76.53,73.80,26.64M,-1.91%
30 de jun. de 2022,76.56,76.99,78.05,76.17,27.33M,-2.83%
29 de jun. de 2022,78.79,79.61,80.09,78.04,18.59M,-0.83%
28 de jun. de 2022,79.45,80.00,80.18,78.80,25.97M,1.79%
27 de jun. de 2022,78.05,76.50,78.97,76.06,28.72M,4.60%
24 de jun. de 2022,74.62,72.78,74.88,72.60,22.33M,2.78%
23 de jun. de 2022,72.60,76.44,77.31,72.43,31.55M,-3.65%
22 de jun. de 2022,75.35,74.00,76.05,73.38,32.15M,-0.86%
21 de jun. de 2022,76.00,76.80,77.64,75.76,20.87M,0.66%
20 de jun. de 2022,75.50,75.60,76.18,74.25,26.65M,-2.47%
17 de jun. de 2022,77.41,79.35,79.35,76.11,56.48M,-5.22%
15 de jun. de 2022,81.67,82.10,83.77,81.54,33.55M,-0.06%
14 de jun. de 2022,81.72,82.33,82.80,80.89,22.58M,-0.20%
13 de jun. de 2022,81.88,82.10,82.87,80.10,30.89M,-3.17%
10 de jun. de 2022,84.56,83.37,84.99,82.38,28.46M,0.02%
09 de jun. de 2022,84.54,87.00,87.00,84.45,36.10M,-3.38%
08 de jun. de 2022,87.50,89.78,90.33,86.85,26.85M,-3.44%
07 de jun. de 2022,90.62,88.24,90.89,88.11,26.93M,2.34%
06 de jun. de 2022,88.55,89.64,89.79,88.55,14.79M,0.10%
03 de jun. de 2022,88.46,89.50,89.82,88.36,18.35M,-1.60%
02 de jun. de 2022,89.90,90.00,90.28,89.00,24.98M,1.88%
01 de jun. de 2022,88.24,86.19,88.78,86.00,25.99M,2.35%
31 de mai. de 2022,86.21,87.22,87.43,85.01,41.19M,-0.51%
30 de mai. de 2022,86.65,86.28,87.41,86.01,15.83M,1.08%
27 de mai. de 2022,85.72,84.90,85.88,84.70,19.75M,1.74%
26 de mai. de 2022,84.25,84.16,84.65,83.10,27.35M,-0.06%
25 de mai. de 2022,84.30,84.00,84.80,83.41,24.56M,0.31%
24 de mai. de 2022,84.04,81.82,84.09,81.00,35.09M,1.35%
23 de mai. de 2022,82.92,82.30,83.65,82.27,27.57M,2.04%
20 de mai. de 2022,81.26,82.01,82.46,80.58,38.20M,1.77%
19 de mai. de 2022,79.85,77.78,80.38,77.47,29.92M,2.66%
18 de mai. de 2022,77.78,78.71,79.25,77.42,30.53M,-2.53%
17 de mai. de 2022,79.80,81.85,81.92,78.86,29.20M,-0.42%
16 de mai. de 2022,80.14,78.68,80.64,78.52,23.79M,2.99%
13 de mai. de 2022,77.81,78.42,79.35,77.80,25.92M,-0.12%
12 de mai. de 2022,77.90,77.05,77.90,75.87,27.67M,-1.00%
11 de mai. de 2022,78.69,77.37,79.89,77.12,33.88M,4.17%
10 de mai. de 2022,75.54,76.27,76.94,74.87,31.82M,-1.24%
09 de mai. de 2022,76.49,77.53,77.98,76.08,36.95M,-4.10%
06 de mai. de 2022,79.76,79.20,80.90,78.25,25.14M,-0.71%
05 de mai. de 2022,80.33,81.55,83.20,79.08,30.84M,-1.81%
04 de mai. de 2022,81.81,81.93,82.18,79.85,33.88M,-0.84%
03 de mai. de 2022,82.50,82.95,84.21,82.19,27.32M,-0.51%
02 de mai. de 2022,82.92,83.16,83.20,80.64,31.39M,-0.44%
29 de abr. de 2022,83.29,86.18,87.20,83.29,47.25M,-1.08%
28 de abr. de 2022,84.20,85.02,85.55,80.83,55.85M,2.47%
27 de abr. de 2022,82.17,80.55,82.66,80.25,49.26M,5.35%
26 de abr. de 2022,78.00,79.08,79.32,77.85,36.81M,-1.37%
25 de abr. de 2022,79.08,77.94,79.61,77.54,38.81M,-1.70%
22 de abr. de 2022,80.45,83.25,83.40,80.08,38.66M,-5.80%
20 de abr. de 2022,85.40,86.61,86.67,84.40,29.56M,-2.60%
19 de abr. de 2022,87.68,89.69,89.69,86.84,34.43M,-3.19%
18 de abr. de 2022,90.57,91.61,92.00,90.01,14.73M,-1.65%
14 de abr. de 2022,92.09,93.31,94.00,91.36,24.67M,-1.40%
13 de abr. de 2022,93.40,93.49,94.38,92.81,23.64M,0.03%
12 de abr. de 2022,93.37,95.10,95.61,93.24,16.76M,-0.67%
11 de abr. de 2022,94.00,93.81,94.71,92.92,16.48M,-1.21%
08 de abr. de 2022,95.15,96.64,97.40,94.62,26.82M,-2.04%
07 de abr. de 2022,97.13,95.50,97.69,95.14,19.91M,0.60%
06 de abr. de 2022,96.55,95.33,96.72,95.33,22.55M,1.51%
05 de abr. de 2022,95.11,97.36,97.78,94.82,25.70M,-2.89%
04 de abr. de 2022,97.94,96.77,98.25,96.55,16.85M,1.01%
