CountryExp,ConfCases
13,1
1,1
13,4
13,2
1,2
1,3
28,1
22,6
5,5
1,20
27,2
8,2
5,9
1,11
27,1
19,1
18,1
13,1
8,1
5,82
1,21
8,3
1,3
28,1
18,1
8,2
1,1
27,2
22,1
19,2
18,6
17,1
13,1
8,3
5,14
1,13
27,1
22,1
19,2
18,7
13,1
8,5
1,10
0,1
27,3
19,2
18,5
13,8
9,1
8,8
2,1
1,11
18,3
16,1
8,4
5,21
2,1
1,16
27,4
18,5
16,1
13,4
8,2
5,16
1,22
8,3
5,26
1,7
22,2
19,9
18,2
16,1
13,1
8,2
1,8
27,1
23,1
19,1
18,14
13,5
8,5
7,1
5,22
1,26
27,2
18,9
14,2
13,1
8,3
7,1
6,1
5,4
1,16
0,1
27,3
23,1
19,16
18,12
14,2
8,3
5,19
2,1
1,21
0,1
27,3
19,12
18,12
14,2
8,5
5,19
2,3
1,26
0,1
27,3
23,4
22,1
20,2
19,6
18,15
14,1
13,1
12,1
8,4
5,5
1,27
27,1
18,3
16,1
8,3
1,11
16,1
8,1
1,3
19,1
18,1
13,1
12,1
8,1
6,2
5,10
1,30
0,1
27,1
19,14
18,33
16,2
14,1
13,1
8,13
5,13
1,47
27,7
18,27
16,1
14,2
13,4
8,10
5,25
1,25
0,1
27,3
19,25
18,31
8,4
6,1
5,18
1,41
28,2
27,9
22,1
20,1
18,34
14,1
13,8
8,11
6,1
1,40
0,2
27,1
18,1
13,4
8,1
6,1
2,1
1,6
0,1
13,5
8,7
1,3
28,3
27,5
18,38
16,1
15,2
14,3
13,7
10,1
8,20
4,1
1,61
28,2
27,1
22,3
19,34
18,38
17,1
16,2
14,2
13,2
8,8
7,1
5,22
4,2
1,43
0,1
28,2
27,2
18,42
15,1
14,4
13,10
9,1
8,10
7,2
6,1
5,10
1,72
0,1
27,12
18,46
14,1
13,10
9,1
8,18
7,1
4,1
1,48
27,4
18,66
17,1
14,1
13,9
8,4
6,1
1,70
0,2
27,1
16,1
13,1
8,10
1,19
18,1
16,1
1,16
28,3
27,9
22,3
19,55
18,61
16,3
14,2
13,11
8,20
7,2
5,56
1,95
28,1
27,3
20,1
19,97
18,53
17,1
16,1
14,4
13,23
9,1
8,15
6,2
5,7
4,1
2,1
1,90
28,3
27,6
22,3
18,76
16,1
14,3
13,18
9,1
8,22
7,1
5,13
1,70
0,3
28,1
27,12
26,1
25,1
23,1
19,53
18,89
16,2
14,3
13,8
8,14
7,4
4,1
2,1
1,89
0,2
28,1
27,3
26,1
18,86
17,1
16,1
14,3
13,24
10,2
8,28
5,31
1,67
0,1
18,3
17,1
16,2
13,4
8,5
6,1
4,1
1,7
16,3
13,1
8,5
1,18
28,8
27,20
26,1
23,1
22,14
18,70
16,1
14,1
13,13
9,1
8,16
7,2
6,1
5,17
1,101
0,1
28,2
27,9
21,1
19,110
18,74
14,1
13,10
10,1
8,17
4,2
1,93
0,2
28,4
27,5
18,83
17,1
16,1
13,10
8,23
7,2
6,1
4,2
1,74
0,5
28,4
27,4
19,58
18,76
14,4
13,7
10,1
9,2
8,22
5,11
1,106
0,1
28,3
27,26
18,71
15,2
14,1
13,8
10,1
9,1
8,25
7,2
6,3
5,13
2,3
1,130
0,3
27,3
18,13
13,4
8,5
1,15
16,1
13,2
8,7
1,25
28,6
27,7
20,1
18,93
17,2
16,2
14,2
13,18
8,28
7,1
6,1
4,1
2,1
1,151
0,3
28,4
27,11
21,1
20,5
19,79
18,68
17,2
14,1
13,13
8,26
7,1
6,1
4,1
1,109
28,5
27,9
18,66
15,1
14,2
13,9
9,1
8,21
7,2
6,3
3,1
2,1
1,106
0,6
28,5
27,15
23,1
19,144
18,106
17,1
14,5
13,15
8,31
7,2
6,1
5,58
4,1
2,3
1,184
0,7
28,8
27,24
23,1
20,3
18,69
16,1
15,1
13,15
8,22
7,3
6,1
1,101
0,2
27,4
18,8
16,3
13,8
8,7
1,22
27,1
18,2
8,3
1,26
28,2
27,25
23,1
18,70
17,1
14,3
13,17
9,1
8,29
7,4
6,3
4,1
2,1
1,176
0,3
28,6
27,8
22,12
19,191
18,78
13,11
10,2
9,4
8,48
7,1
6,6
4,1
1,158
0,1
28,3
27,25
23,1
22,2
18,102
17,1
14,5
13,9
9,1
8,27
7,2
6,4
2,1
1,199
0,5
28,2
27,7
25,5
22,1
18,78
17,2
14,3
13,13
9,2
8,15
7,1
6,2
5,42
4,1
2,2
1,112
0,5
28,4
27,26
25,1
23,2
22,4
18,72
17,1
16,1
14,2
13,14
10,1
8,37
7,4
6,3
4,2
3,1
2,3
1,131
0,4
28,1
27,2
18,15
17,1
16,1
15,2
13,5
9,2
8,3
1,44
18,5
16,1
8,9
6,1
1,16
28,6
27,11
25,1
21,2
18,113
16,1
14,2
13,12
10,1
9,1
8,42
7,3
6,5
2,2
1,155
0,4
27,8
18,66
17,1
14,2
13,6
8,30
7,3
6,3
1,160
0,2
28,1
27,30
22,3
18,69
17,1
16,3
14,8
13,12
10,4
9,2
8,28
6,1
3,1
2,1
1,140
0,4
28,6
27,9
22,2
19,655
18,66
16,1
14,2
13,13
10,1
8,27
6,4
1,136
0,2
28,8
27,3
26,1
25,2
23,2
22,3
18,55
17,7
16,1
14,2
13,14
10,1
9,1
8,18
6,2
4,1
2,2
1,170
0,1
27,1
18,9
17,1
13,3
8,8
6,1
2,3
1,30
13,9
8,7
1,17
28,1
27,22
22,8
18,58
17,4
16,2
14,1
13,22
10,3
8,28
7,1
6,1
2,1
1,112
0,1
28,6
27,14
25,1
22,1
18,60
14,1
13,17
10,3
8,22
7,3
6,3
1,172
0,4
28,1
27,24
23,2
18,78
16,2
15,1
14,1
13,19
10,1
8,7
7,1
6,2
5,45
3,3
1,159
0,1
28,5
27,13
23,1
22,5
19,388
18,63
16,1
14,5
13,12
10,5
8,10
7,3
6,2
4,1
2,1
1,139
0,4
28,12
27,23
23,4
22,5
18,61
17,1
16,2
14,4
13,16
10,2
8,12
7,2
6,4
2,2
1,114
0,9
22,18
18,4
16,1
15,1
13,1
8,4
6,1
4,1
1,15
28,1
18,1
16,1
13,1
1,20
28,7
27,15
25,1
23,2
21,5
18,42
17,2
16,1
13,13
9,2
8,21
7,4
6,5
4,3
3,1
1,137
0,3
28,3
27,4
24,1
22,2
19,284
18,55
17,3
16,2
14,2
13,11
8,15
7,2
6,4
3,1
1,147
0,5
28,7
27,14
23,1
22,4
18,51
17,1
14,1
13,21
11,1
10,2
9,3
8,12
6,6
5,77
2,1
1,131
0,5
28,12
27,19
23,2
22,3
20,9
19,184
18,45
17,5
14,3
13,21
11,2
10,2
9,1
8,15
7,2
6,1
4,2
2,1
1,121
0,4
28,12
27,10
24,1
23,1
22,6
18,29
17,1
14,1
13,13
8,3
7,1
6,2
4,2
2,1
1,124
0,3
24,1
18,3
17,1
16,1
13,5
8,3
6,1
4,1
2,1
1,15
18,3
13,4
1,15
28,1
27,11
22,4
18,60
17,2
14,2
13,12
10,5
8,10
7,1
6,5
4,1
1,128
0,4
28,11
27,17
23,5
22,3
19,178
18,43
14,5
13,9
12,1
11,2
10,2
8,7
6,2
4,1
3,2
2,1
1,76
0,1
28,6
27,22
25,3
23,1
22,8
18,41
16,4
14,2
13,6
10,1
8,20
6,6
5,60
1,82
0,3
28,6
27,20
25,2
22,6
19,72
18,30
17,2
16,1
15,1
14,2
13,11
10,1
8,5
7,2
6,8
3,1
2,2
1,72
0,2
28,11
27,6
25,1
22,16
18,30
16,1
14,1
13,4
10,1
8,5
7,4
6,3
1,60
25,1
18,6
9,1
8,4
1,18
0,1
25,1
13,2
8,2
1,13
23,1
22,3
18,26
14,4
12,1
8,10
7,2
3,1
1,12
0,1
28,2
27,9
25,1
23,1
22,1
19,76
18,29
14,4
13,5
10,1
8,2
4,2
1,91
0,3
28,5
27,22
24,1
23,2
22,3
18,20
13,10
8,7
6,5
5,40
1,73
0,5
28,1
27,5
25,2
22,5
21,1
19,140
18,23
17,2
16,1
14,4
13,9
7,1
6,2
1,65
0,4
28,9
27,3
18,27
14,2
13,8
10,2
7,1
1,34
0,5
18,1
13,1
1,1
13,1
1,4
28,3
25,2
23,2
22,6
18,22
13,9
4,1
1,10
0,2
28,1
