Abertura,Fechamento,Mínima,Máxima
50.0,49.6,48.6,50.6
49.0,49.6,48.8,50.3
47.4,48.7,47.1,49.2
47.4,47.7,46.5,48.2
47.3,47.5,47.0,47.9
47.2,47.5,46.6,48.0
47.6,47.2,46.9,48.2
47.3,47.4,46.4,48.0
47.1,47.2,46.7,47.8
46.0,47.2,45.7,47.6
45.3,46.1,45.0,46.6
44.7,45.5,44.4,45.9
43.8,44.6,43.3,45.1
43.7,43.8,43.2,44.2
43.8,43.9,43.3,44.3
44.0,43.8,43.3,44.6
44.9,43.8,43.4,45.3
44.9,44.9,44.4,45.4
44.3,44.8,44.0,45.2
32.9,31.7,31.3,33.1
33.1,33.4,32.9,33.7
31.7,32.8,31.6,32.8
31.7,32.0,31.5,32.1
30.9,31.7,30.6,32.2
29.1,31.7,29.1,31.8
37.5,36.2,36.2,37.9
37.6,37.1,36.6,37.6
37.0,37.2,36.9,37.5
35.1,36.6,35.1,36.8
34.1,34.9,34.1,35.1
34.1,34.2,33.6,34.4
34.0,33.9,33.6,34.2
33.8,33.8,33.5,34.5
34.0,33.7,33.2,34.1
33.6,34.1,32.8,34.7
31.6,32.3,31.4,32.6
31.3,31.4,30.6,31.5
31.2,31.0,30.6,31.6
29.6,30.7,29.6,30.8
29.0,29.3,28.9,29.5
29.0,29.0,28.2,29.1
29.1,29.2,28.8,29.2
28.6,29.2,28.4,29.2
28.4,28.6,28.3,28.7
27.7,28.0,27.5,28.1
28.0,27.5,27.2,28.0
28.1,28.2,28.0,28.5
28.3,28.2,28.0,28.4
28.3,28.7,28.2,28.8
28.5,28.8,28.4,29.0
28.0,28.5,28.0,28.9
28.2,27.7,26.9,28.5
28.9,28.0,27.6,28.9
28.5,29.1,28.5,29.3
28.1,28.5,27.5,28.9
27.6,27.9,27.4,28.1
28.5,28.1,27.8,28.8
28.6,28.3,28.0,28.8
26.8,28.0,26.7,28.1
26.8,26.3,26.2,27.1
27.0,26.5,26.1,27.4
26.6,27.0,26.4,27.6
27.8,27.1,26.7,28.2
26.0,27.6,25.9,28.2
28.2,27.3,26.1,28.4
30.0,29.1,28.8,30.0
29.7,29.6,29.2,30.2
29.0,29.3,28.7,29.6
30.0,29.6,29.1,30.0
30.5,30.1,30.0,30.7
30.4,30.5,30.3,31.1
30.2,30.7,30.2,31.3
30.5,30.3,29.9,30.5
29.7,30.3,29.5,30.4
30.0,29.8,29.6,30.1
29.9,30.0,29.9,30.3
30.4,30.1,29.8,30.6
