RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,2
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,2
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,2
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,2
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,1
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,2
1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,2
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,1
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,2
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,1
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,1
1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0,1
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21,2
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,1
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,1
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,1
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,1
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,1
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,1
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,1
