Abertura,Fechamento,Mínima,Máxima
24836.2,23922.2,24180.1,26253.1
25517.9,24884.1,24772.7,25324.0
25362.5,25570.9,24912.5,25440.2
26233.1,25415.6,25171.2,25945.6
26231.8,26285.4,26255.1,26228.0
26226.2,26303.3,26197.9,26543.9
25714.8,26279.6,25460.5,26201.1
27052.6,25766.3,25949.3,27170.7
25887.6,27107.3,26088.5,27009.6
24981.7,25939.5,24899.4,25856.2
25001.5,25038.5,23308.8,25009.8
24833.8,25054.6,24872.7,25530.4
24703.9,24878.3,24186.1,25070.4
26250.5,24753.0,24421.8,25893.7
26584.2,26303.8,26092.9,26538.3
28985.7,26632.2,26146.9,29785.4
29588.3,29043.6,29213.9,30271.4
30446.5,29636.5,29315.8,30322.0
30891.3,30518.1,30330.0,30710.9
29370.1,30944.3,29829.3,30683.6
